frames=17648
samplerate=44100, outrate=32768
channels=2
num_items=35296
Read 35296 items
idx = 562	 inval = -2063532032	 outidx = 209	 outval = -61
idx = 565	 inval = -2063269888	 outidx = 210	 outval = -61
idx = 567	 inval = -2063073280	 outidx = 211	 outval = -61
idx = 570	 inval = -2062548992	 outidx = 212	 outval = -61
idx = 573	 inval = -2062286848	 outidx = 213	 outval = -61
idx = 576	 inval = -2061828096	 outidx = 214	 outval = -61
idx = 578	 inval = -2061565952	 outidx = 215	 outval = -61
idx = 581	 inval = -2061369344	 outidx = 216	 outval = -61
idx = 584	 inval = -2060845056	 outidx = 217	 outval = -61
idx = 586	 inval = -2060648448	 outidx = 218	 outval = -61
idx = 592	 inval = -2059862016	 outidx = 220	 outval = -61
idx = 594	 inval = -2059665408	 outidx = 221	 outval = -61
idx = 597	 inval = -2059403264	 outidx = 222	 outval = -61
idx = 600	 inval = -2059010048	 outidx = 223	 outval = -61
idx = 602	 inval = -2058747904	 outidx = 224	 outval = -61
idx = 605	 inval = -2058485760	 outidx = 225	 outval = -61
idx = 608	 inval = -2058092544	 outidx = 226	 outval = -61
idx = 611	 inval = -2057830400	 outidx = 227	 outval = -61
idx = 613	 inval = -2057568256	 outidx = 228	 outval = -61
idx = 616	 inval = -2057043968	 outidx = 229	 outval = -61
idx = 621	 inval = -2056585216	 outidx = 231	 outval = -61
idx = 624	 inval = -2056060928	 outidx = 232	 outval = -61
idx = 627	 inval = -2055798784	 outidx = 233	 outval = -61
idx = 629	 inval = -2055667712	 outidx = 234	 outval = -61
idx = 632	 inval = -2055208960	 outidx = 235	 outval = -61
idx = 635	 inval = -2055077888	 outidx = 236	 outval = -61
idx = 637	 inval = -2054815744	 outidx = 237	 outval = -61
idx = 640	 inval = -2054356992	 outidx = 238	 outval = -61
idx = 643	 inval = -472842240	 outidx = 239	 outval = -14
idx = 645	 inval = -1119813632	 outidx = 240	 outval = -33
idx = 651	 inval = -1824849920	 outidx = 242	 outval = -54
idx = 654	 inval = -1963655168	 outidx = 243	 outval = -58
idx = 656	 inval = -1996816384	 outidx = 244	 outval = -59
idx = 659	 inval = -2017394688	 outidx = 245	 outval = -60
idx = 662	 inval = -2038235136	 outidx = 246	 outval = -60
idx = 664	 inval = -2043019264	 outidx = 247	 outval = -60
idx = 667	 inval = -2045968384	 outidx = 248	 outval = -60
idx = 670	 inval = -2048655360	 outidx = 249	 outval = -61
idx = 672	 inval = -2049245184	 outidx = 250	 outval = -61
idx = 675	 inval = -2049572864	 outidx = 251	 outval = -61
idx = 680	 inval = -2049507328	 outidx = 253	 outval = -61
idx = 683	 inval = -2049376256	 outidx = 254	 outval = -61
idx = 686	 inval = -2048786432	 outidx = 255	 outval = -61
idx = 689	 inval = -2048589824	 outidx = 256	 outval = -61
idx = 691	 inval = -2048327680	 outidx = 257	 outval = -61
idx = 694	 inval = -2047868928	 outidx = 258	 outval = -61
idx = 697	 inval = -2047606784	 outidx = 259	 outval = -61
idx = 699	 inval = -2047344640	 outidx = 260	 outval = -61
idx = 702	 inval = -2047016960	 outidx = 261	 outval = -61
idx = 705	 inval = -2046754816	 outidx = 262	 outval = -60
idx = 710	 inval = -2046099456	 outidx = 264	 outval = -60
idx = 713	 inval = -2045837312	 outidx = 265	 outval = -60
idx = 715	 inval = -2045640704	 outidx = 266	 outval = -60
idx = 718	 inval = -2045116416	 outidx = 267	 outval = -60
idx = 721	 inval = -2044919808	 outidx = 268	 outval = -60
idx = 724	 inval = -2044395520	 outidx = 269	 outval = -60
idx = 726	 inval = -2044133376	 outidx = 270	 outval = -60
idx = 729	 inval = -2043936768	 outidx = 271	 outval = -60
idx = 732	 inval = -2043412480	 outidx = 272	 outval = -60
idx = 734	 inval = -2043215872	 outidx = 273	 outval = -60
idx = 740	 inval = -2042560512	 outidx = 275	 outval = -60
idx = 742	 inval = -2042298368	 outidx = 276	 outval = -60
idx = 745	 inval = -2042036224	 outidx = 277	 outval = -60
idx = 748	 inval = -1107230720	 outidx = 278	 outval = -32
idx = 750	 inval = -1452146688	 outidx = 279	 outval = -43
idx = 753	 inval = -1669791744	 outidx = 280	 outval = -49
idx = 756	 inval = -1893203968	 outidx = 281	 outval = -56
idx = 759	 inval = -1947467776	 outidx = 282	 outval = -58
idx = 761	 inval = -1981612032	 outidx = 283	 outval = -59
idx = 764	 inval = -2016477184	 outidx = 284	 outval = -60
idx = 769	 inval = -2030108672	 outidx = 286	 outval = -60
idx = 772	 inval = -2035154944	 outidx = 287	 outval = -60
idx = 775	 inval = -2036334592	 outidx = 288	 outval = -60
idx = 777	 inval = -2036989952	 outidx = 289	 outval = -60
idx = 780	 inval = -2037383168	 outidx = 290	 outval = -60
idx = 783	 inval = -2037383168	 outidx = 291	 outval = -60
idx = 785	 inval = -2037252096	 outidx = 292	 outval = -60
idx = 788	 inval = -2036989952	 outidx = 293	 outval = -60
idx = 791	 inval = -2036727808	 outidx = 294	 outval = -60
idx = 794	 inval = -2036203520	 outidx = 295	 outval = -60
idx = 799	 inval = -2035679232	 outidx = 297	 outval = -60
idx = 802	 inval = -2035220480	 outidx = 298	 outval = -60
idx = 804	 inval = -2034958336	 outidx = 299	 outval = -60
idx = 807	 inval = -2034696192	 outidx = 300	 outval = -60
idx = 810	 inval = -2034302976	 outidx = 301	 outval = -60
idx = 812	 inval = -2034106368	 outidx = 302	 outval = -60
idx = 815	 inval = -2033909760	 outidx = 303	 outval = -60
idx = 818	 inval = -2033385472	 outidx = 304	 outval = -60
idx = 820	 inval = -2033188864	 outidx = 305	 outval = -60
idx = 823	 inval = -2032926720	 outidx = 306	 outval = -60
